game_id,rated,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_code,opening_moves,opening_fullname,opening_shortname,opening_response,opening_variation
1007,FALSE,18,Out of Time,Black,5+8,aidenleahycrooks,1862,melvet,1416,e4 d6 d4 Nf6 Nc3 a6 Bc4 b5 Bb3 e6 d5 c5 a3 c4 Ba2 exd5 exd5 Ng4,B07,5,Pirc Defense #2,Pirc Defense,,#2
1008,FALSE,36,Resign,Black,5+8,aidenleahycrooks,1862,nstsonkov,2073,e4 c5 d4 cxd4 c3 dxc3 Nxc3 d6 Nf3 Nf6 Bb5+ Bd7 Bxd7+ Nbxd7 O-O a6 Be3 g6 Nd5 Nxd5 Qxd5 b5 Rac1 Nf6 Qc6+ Nd7 Ng5 Bg7 b3 O-O f4 Nc5 Bxc5 dxc5 Qxc5 Bd4+,B21,5,Sicilian Defense: Smith-Morra Gambit,Sicilian Defense,,Smith-Morra Gambit
1009,FALSE,99,Resign,White,5+8,podgur,1567,aidenleahycrooks,1862,Nf3 d5 b3 Bg4 Bb2 Nf6 e3 e6 h3 Bh5 g4 Bg6 Ne5 Nbd7 Nxg6 hxg6 d4 Bb4+ c3 Bd6 Nd2 Qe7 Qc2 O-O-O O-O-O a6 Bg2 Kb8 f3 c5 e4 dxe4 Nxe4 Nxe4 fxe4 cxd4 Rxd4 Bf4+ Kb1 e5 Rd3 Nc5 Rxd8+ Rxd8 Rd1 Rxd1+ Qxd1 f5 exf5 gxf5 gxf5 Qf6 c4 Qxf5+ Qc2 Qxc2+ Kxc2 Bg3 Kd2 g5 Ke2 Bf4 Bc3 Kc7 b4 Na4 Ba1 b5 c5 Bc1 Bxe5+ Kd7 Bf6 Ke6 Bd8 Kf5 Kf3 Bd2 Ba5 Bf4 c6 Ke6 Kg4 Kd6 c7 Kd7 h4 Bxc7 Bxc7 Kxc7 hxg5 Kd7 Kf5 Ke7 Kg6 Nb2 Kh7 Kf7 g6+,A06,3,Nimzowitsch-Larsen Attack,Nimzowitsch-Larsen Attack,,
1010,FALSE,60,Resign,White,5+8,peterw,1564,aidenleahycrooks,1862,d4 c5 e3 Nc6 d5 Ne5 e4 d6 Qe2 Bg4 f3 Bd7 Nc3 a6 h3 e6 f4 Ng6 f5 Ne5 Bf4 Nf6 Bxe5 dxe5 Nf3 Qc7 O-O-O Bd6 fxe6 fxe6 dxe6 Bxe6 Ng5 Bd7 Nd5 Nxd5 exd5 Bb5 Qf3 Bxf1 Rhxf1 Rf8 Qg4 Rxf1 Rxf1 Qe7 Rf7 Qxf7 Nxf7 Kxf7 Qd7+ Kg8 Qxd6 Rf8 Qe6+ Kh8 b3 Rf1+ Kb2 Rf2,A43,2,Old Benoni Defense,Old Benoni Defense,,
1011,FALSE,77,Mate,White,5+8,aidenleahycrooks,1862,chmc,1140,e4 e5 Nf3 Nf6 Nc3 Nc6 Bb5 Bb4 a3 a6 Bxc6 Bxc3 Bxd7+ Kxd7 dxc3+ Ke8 Qxd8+ Kxd8 Nxe5 Nxe4 Nxf7+ Ke7 Nxh8 Bg4 O-O Rxh8 Re1 Bf3 gxf3 Kf6 fxe4 Ke5 f4+ Kf6 e5+ Kf5 Kg2 Rf8 Kg3 Rf6 h4 Rg6+ Kh3 Rh6 Rg1 g6 b4 Rh5 Rg5+ Ke6 Rxh5 gxh5 Be3 Kf5 c4 Ke4 Ba7 Kxf4 Bb8 Kxe5 Bxc7+ Kf5 Rf1+ Kg6 a4 Kg7 Be5+ Kg6 b5 Kh6 bxa6 Kg6 axb7 Kh6 b8=Q Kg6 Qb6#,C49,8,Four Knights Game: Double Spanish,Four Knights Game,,Double Spanish
1012,TRUE,74,Mate,Black,10+0,maltetillmarconi,1972,kardsalan,1952,d4 Nf6 c4 e5 dxe5 Ng4 Bf4 Nc6 Nf3 Bb4+ Nbd2 Qe7 a3 Ngxe5 Nxe5 Nxe5 e3 Bxd2+ Qxd2 d6 Be2 Bf5 Qc3 O-O c5 Ng6 cxd6 cxd6 Qd4 Nxf4 Qxf4 Qe5 Qb4 Rac8 O-O Rc2 Bf3 Qxb2 Bxb7 Rxf2 Qxb2 Rxb2 Rxf5 Rxb7 Ra5 Re8 Kf2 Re5 Ra6 Rb2+ Kf3 Rf5+ Ke4 g6 Rxd6 Rxg2 Ra6 h5 Rxa7 Rxh2 a4 Rh4+ Kd3 Rd5+ Ke2 g5 a5 g4 e4 Rh2+ Ke3 Rh3+ Kf4 Rf3#,A52,7,Budapest Defense: Rubinstein Variation,Budapest Defense,,Rubinstein Variation
1013,TRUE,61,Resign,White,10+0,caddy,1960,kardsalan,1950,e4 e5 Nf3 Nf6 Nc3 d5 Nxd5 Nxd5 exd5 Qxd5 d4 exd4 Qxd4 Qxd4 Nxd4 Bc5 Be3 O-O O-O-O Bxd4 Bxd4 Nc6 Bc5 Re8 Bc4 Na5 Bd5 Be6 Bxe6 Rxe6 Rd7 Rc6 Bb4 Nc4 Re1 h6 Ree7 a5 Bc3 Nd6 Rxc7 Rxc7 Rxc7 b5 Be5 Ne4 f3 Ng5 Rb7 b4 a3 bxa3 bxa3 Ne6 Rb5 a4 Bc3 Rc8 Kb2 Rc4 Rb4,C42,5,Russian Game: Three Knights Game,Russian Game,,Three Knights Game
1014,TRUE,15,Resign,White,10+0,persian-golff,2199,kardsalan,1955,e4 e5 Nf3 Nf6 Nxe5 d6 Nxf7 Kxf7 d4 Nxe4 Qh5+ Ke7 Qe2 d5 Bg5+,C42,7,Russian Game: Cochrane Gambit,Russian Game,,Cochrane Gambit
1015,FALSE,102,Draw,Draw,10+0,kardsalan,1955,assad,1837,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3 e5 Nf3 h6 Bc4 Nc6 O-O Be7 Qe2 Qc7 Bd5 O-O Rfd1 b5 a3 Bb7 h3 Rac8 Rd3 Rfd8 Rad1 Na5 Bxb7 Qxb7 Nd5 Nxd5 Rxd5 Nc4 Bc1 Nb6 R5d3 Rc4 Re3 f6 c3 d5 exd5 Rxd5 Rxd5 Qxd5 Rd3 Qb7 Qd1 Rc7 Ne1 Rd7 Rxd7 Qxd7 Qxd7 Nxd7 Nc2 Kf7 f3 Bc5+ Be3 Ke6 Kf2 Kd5 b4 Bb6 Ke2 Kc4 Kd2 Bxe3+ Nxe3+ Kb3 Nf5 g5 Nxh6 Kxa3 Nf5 Kb3 Nd6 Nb6 g4 Nd5 Ne4 Kc4 Kc2 Ne3+ Kd2 Nd5 Kc2 Ne3+ Kd2 Nd5 Kc2 Ne3+ Kd2 Nd5 Kc2 Ne3+,B90,11,Sicilian Defense: Najdorf Variation |  English Attack,Sicilian Defense,,Najdorf Variation
1016,TRUE,129,Out of Time,White,10+0,kardsalan,1937,mrhorta50,2090,e4 e6 d4 d5 exd5 exd5 Bd3 Nf6 h3 Bd6 Nf3 O-O O-O h6 Re1 Nc6 a3 Re8 Nc3 a6 Ne2 Be6 Nf4 Bd7 c3 Rxe1+ Qxe1 Na5 Nxd5 Nxd5 c4 Nf4 Bxf4 Bxf4 Qxa5 Bc6 d5 Bd7 Qc3 b6 Re1 a5 Qd4 Bd6 Qe4 g6 Ne5 Be8 Qe3 Kg7 Ng4 Qg5 Qd4+ f6 g3 Bc5 Qc3 Bd7 b4 axb4 axb4 Bxg4 bxc5 Bxh3 Re7+ Kf8 d6 bxc5 Rxc7 Re8 d7 Rd8 Rc8 Ke7 Qe1+ Qe5 Qxe5+ fxe5 Rxd8 Kxd8 Bxg6 Kxd7 Bf7 Kd6 Kh2 Bg4 Kg2 Ke7 Bd5 Be6 Bxe6 Kxe6 Kf3 Kf5 g4+ Kg5 Kg3 e4 f3 exf3 Kxf3 Kf6 Kf4 Ke6 Ke4 Kd6 Kf5 Kc6 Kg6 Kd6 Kxh6 Ke5 Kg6 Kd4 g5 Kxc4 Kf6 Kd3 g6 c4 g7 c3 g8=Q c2 Qg3+ Kd2 Qf2+ Kd1 Qxc2+,C01,5,French Defense: Exchange Variation,French Defense,,Exchange Variation
1017,TRUE,25,Resign,White,10+0,kardsalan,1951,roman1702,1664,e4 e6 d4 d5 exd5 exd5 Bd3 Be6 Nf3 Nf6 O-O c6 Re1 Bd6 Bf5 Qd7 Ng5 O-O Nxe6 Re8 Nxg7 Rxe1+ Qxe1 Qc7 Bh6,C01,5,French Defense: Exchange Variation,French Defense,,Exchange Variation
1018,TRUE,39,Resign,White,10+0,kardsalan,1944,bilja2233,1776,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 g6 Be3 Bg7 Nc3 Nf6 f3 O-O Qd2 e5 Nb3 b6 Be2 Qe7 O-O Rd8 Rad1 d6 Bh6 Be6 Bxg7 Kxg7 Nd5 Nxd5 exd5 Bxd5 Qxd5 Rac8 c4 Nb4 Qd2 Nxa2 Ra1,B36,8,Sicilian Defense: Accelerated Dragon,Sicilian Defense,,Accelerated Dragon
1019,TRUE,62,Out of Time,Black,10+0,graton,1553,kardsalan,1942,e4 c6 d4 d5 exd5 cxd5 Nf3 Nf6 Nc3 Nc6 Be2 Bg4 O-O a6 Re1 e6 Ne5 Bxe2 Rxe2 Nxe5 dxe5 Nd7 Qe1 Qh4 Re3 Rc8 Rf3 Qh5 Bf4 Bb4 Rc1 Rc4 Qe3 O-O Re1 d4 Qd3 Nb6 Re4 dxc3 Rxc4 Nxc4 Qxc4 Rd8 h3 cxb2 Qf1 Bd2 Bxd2 Rxd2 Qb1 Qxe5 Rb3 Qe2 Qf1 Rd1 Rxb2 Rxf1+ Kh2 Rxf2 Rxb7 Rxg2+,B13,5,Caro-Kann Defense: Exchange Variation,Caro-Kann Defense,,Exchange Variation
1020,TRUE,19,Resign,Black,10+0,louwyhs,1236,kardsalan,1941,e4 c6 Nf3 d5 exd5 cxd5 Bb5+ Nc6 Bxc6+ bxc6 Ne5 Qc7 Qh5 e6 d4 Nf6 Qxf7+ Qxf7 Nxf7,B10,2,Caro-Kann Defense,Caro-Kann Defense,,
1021,FALSE,83,Resign,White,180+0,jonhnyorion,1500,vudo1012,1500,e4 e6 Nf3 Nf6 d3 d5 e5 Nfd7 Bg5 f6 Bd2 Nxe5 Nxe5 fxe5 Qh5+ g6 Qxe5 Bd6 Qxh8+ Bf8 Bh6 Qe7 d4 e5 dxe5 Qh4 Qxf8+ Kd7 Qf7+ Qe7 Qxe7+ Kxe7 Bg5+ Ke6 Bf4 Nd7 Bg3 Kf7 f4 Nf8 Nc3 Be6 Bh4 Re8 O-O-O c6 Bd3 Rd8 h3 d4 Ne4 b6 Bf2 Bf5 g4 Be6 Ba6 Bd5 Rxd4 Ne6 Nd6+ Ke7 Rhd1 Nc7 Nb7 Bf3 Nxd8 Nxa6 Bh4+ Ke8 R1d2 c5 Rd7 Nb8 Rxh7 Bc6 Nxc6 Nxc6 Rd6 Kf8 Rxc6 Kg8 Rxa7,C00,3,French Defense: Knight Variation,French Defense,,Knight Variation
1022,FALSE,66,Resign,White,180+0,vudo1012,1500,jonhnyorion,1500,Nf3 Nc6 e4 e5 d4 d6 c3 exd4 cxd4 Bg4 Qb3 Qf6 Qxb7 Rb8 Qxc6+ Bd7 Qxc7 Rc8 Qxa7 Rxc1+ Kd2 Qf4+ Kd3 Rd1+ Nfd2 Bb5+ Kc2 Bxf1 Rxf1 Rxf1 Nxf1 Qxf2+ Nfd2 Qxg2 Qa8+ Kd7 Qxf8 Qxh2 Qxg7 Nh6 Qxh8 Ng4 a4 Qh4 Ra3 Nf6 e5 Ne4 exd6 Qh2 Qe5 Qxe5 dxe5 Nxd2 Nxd2 Ke6 a5 f6 exf6 Kxd6 f7 Ke7 Rf3 h5 f8=Q+ Ke6,C44,5,Scotch Game,Scotch Game,,
1023,FALSE,89,Resign,White,180+0,jonhnyorion,1500,vudo1012,1500,e4 e6 Nf3 d6 d3 c5 Nc3 Nc6 Be2 Be7 Ng5 Bxg5 Bh5 g6 Bxg5 Qxg5 Nb5 gxh5 Nc7+ Kd8 Nxa8 Qxg2 Rf1 b6 Qxh5 Ke8 Nc7+ Ke7 Qh4+ Nf6 Nb5 Qg4 Qh6 Qg6 Qe3 a6 Nc3 d5 e5 d4 exf6+ Qxf6 Qe4 e5 Nd5+ Ke6 Nxf6 Kxf6 Qxc6+ Be6 Qxb6 Kg7 Qxc5 Rd8 Qxe5+ Kf8 Qh8+ Ke7 Qxh7 Re8 Qh4+ f6 Qxd4 Kf7 Qa7+ Kf8 Qxa6 Bg4+ Kd2 Re2+ Kc3 Re6 Qc8+ Kf7 Qd7+ Kg6 Rg1 Kf5 Qd5+ Re5 Qd7+ Re6 Rxg4 Kxg4 Qxe6+ f5 Rg1+ Kf4 h4,C00,3,French Defense: Knight Variation,French Defense,,Knight Variation
1024,FALSE,129,Draw,Draw,180+180,vudo1012,1500,jonhnyorion,1500,e3 e5 Ne2 Nc6 f4 d5 d4 exd4 exd4 Bf5 Ng3 Qe7+ Be2 Bg6 b3 Nb4 O-O Nxc2 Ba3 Nxa1 Bxe7 Bc2 Qd2 Bxe7 Na3 Bxa3 Rxa1 Bg6 Bb5+ c6 Qe3+ Ne7 Ba4 Bb2 Re1 Ba3 Qe2 b5 Bxb5 cxb5 Qxb5+ Kd8 Qa5+ Kd7 Qa4+ Nc6 Qxa3 Rhe8 Ne2 Nxd4 Qa4+ Nc6 Qb5 Rab8 Qxd5+ Kc7 Nd4 Rxe1+ Kf2 Rd1 Ke2 Rd8 Qxc6+ Kb8 Qb5+ Ka8 Kxd1 Rxd4+ Ke2 Re4+ Kf2 Rxf4+ Kg3 Rf5 Qc6+ Kb8 Qd6+ Kc8 Qa6+ Kd8 Qxa7 Ke8 Qe3+ Kf8 b4 f6 a4 Re5 Qd2 Kf7 Qd7+ Re7 Qd5+ Re6 b5 Be4 Qd7+ Re7 Qd6 g5 h4 h6 a5 Re6 Qd7+ Re7 Qd6 Re5 hxg5 hxg5 Qc7+ Kg6 Qc4 f5 b6 Rxa5 b7 Bxb7 Qe6+ Kh5 Qxf5 Rxf5 Kh3 g4+ Kg3 Ra5 Kf4 Bxg2 Ke3,A00,1,Van't Kruijs Opening,Van't Kruijs Opening,,
1025,FALSE,27,Resign,White,180+180,jonhnyorion,1500,vudo1012,1500,e4 b6 Nf3 c6 Bc4 d5 exd5 cxd5 Bb3 Bb7 d4 e6 Bg5 f6 Ba4+ Nd7 Bd2 e5 Qe2 Qc7 Bc3 Bd6 Na3 O-O-O Nb5 Qc6 Nxa7+,B00,2,Owen Defense,Owen Defense,,
1026,FALSE,76,Resign,White,180+180,jonhnyorion,1500,vudo1012,1500,e4 b6 d3 e6 Nf3 c6 c4 a5 Nc3 Na6 d4 c5 d5 e5 Nxe5 d6 Nc6 Qh4 Be2 Rb8 Nxb8 Nxb8 Nb5 Qe7 Bf3 Ba6 O-O Nf6 Bg5 h6 Bf4 Qd8 Re1 Be7 e5 Nh7 exd6 O-O dxe7 Qe8 exf8=Q+ Qxf8 Bd6 Qd8 Nc7 Qxd6 Re8+ Nf8 Ne6 Nd7 Rxf8+ Nxf8 Nxf8 Qxf8 d6 Bc8 Bb7 Bxb7 d7 Qd8 Qd6 f6 Re1 Kf7 h4 Ba6 Re8 Qxe8 dxe8=Q+ Kxe8 Qc6+ Ke7 Qc7+ Ke6 Qxb6+ Ke7,B00,2,Owen Defense,Owen Defense,,
1027,FALSE,55,Resign,White,8+3,samuelwise,1452,soprotheygowhoa,1343,e4 e5 f4 exf4 Nf3 d6 d4 Bg4 Bxf4 Bxf3 Qxf3 Nf6 Bc4 Be7 O-O O-O e5 dxe5 dxe5 Qd4+ Be3 Qxb2 Nd2 Qxc2 exf6 Bxf6 Qxb7 Bxa1 Qxa8 Qxc4 Nxc4 h6 Qxa7 Bf6 Qxc7 Re8 Nd6 Rxe3 Qxb8+ Kh7 Nxf7 Kg6 Qb7 Bd4 Kh1 Bf6 Qb1+ Kxf7 Rxf6+ Kxf6 h3 g5 Qb6+ Kf5 Qxe3,C34,6,King's Gambit Accepted |  Fischer Defense,King's Gambit,Accepted,
1028,FALSE,65,Mate,White,20+0,soprotheygowhoa,1343,kasipor,1376,b3 e5 Bb2 Nc6 c4 d5 e3 Nf6 cxd5 Nxd5 e4 Nf6 Nc3 Bc5 Bb5 O-O d3 a6 Bxc6 bxc6 Nf3 Ng4 Ne2 Nxf2 Qc2 Nxh1 Qxc5 Qxd3 Rd1 Qxe4 Bxe5 Bg4 Qc3 f6 Bxc7 Rfe8 Rd2 Qb1+ Rd1 Qxa2 Qc4+ Be6 Qxc6 Bd7 Qd5+ Kh8 Ng1 Qc2 Qxd7 Rac8 g3 Qxc7 Qxc7 Rxc7 Kf1 Rc2 Kg2 Nxg3 hxg3 Rcxe2+ Nxe2 Rxe2+ Kf3 Rb2 Rd8#,A01,4,Nimzo-Larsen Attack: Modern Variation #3,Nimzo-Larsen Attack,,Modern Variation #3
1029,TRUE,63,Resign,White,10+0,intrepido,1803,mojica,1737,e4 e6 d4 d5 exd5 exd5 Nc3 c6 Bf4 Nf6 h3 Be6 Nf3 Bd6 Bg5 Nbd7 Bd3 h6 Bh4 Qc7 Qe2 g5 Bg3 Bxg3 fxg3 Qxg3+ Kd2 Qf4+ Qe3 Qc7 Rae1 O-O-O a3 Rde8 Qf2 Qf4+ Kd1 g4 hxg4 Bxg4 Rxe8+ Rxe8 Ne2 Bxf3 gxf3 Qg5 Rg1 Qh5 Nf4 Ne4 Bxe4 dxe4 Nxh5 e3 Qe2 f5 Rg6 Nb6 b3 Nd5 Qd3 Nf4 Nxf4,C01,5,French Defense: Exchange Variation,French Defense,,Exchange Variation
1030,TRUE,64,Resign,Black,4+6,regalsin,1670,intrepido,1692,e4 e5 Nf3 Nc6 Nc3 Bc5 d3 h6 Be3 Bb4 a3 Bxc3+ bxc3 Nf6 Qd2 d5 exd5 Nxd5 d4 e4 Ne5 Nxe5 dxe5 c6 c4 Nxe3 Qxe3 O-O Qxe4 Qg5 Bd3 f5 Qe3 Qxe3+ fxe3 Be6 Kd2 Rad8 Kc3 a6 Rhf1 b5 Rf2 g6 Raf1 Kg7 h4 h5 e4 fxe4 Bxe4 c5 cxb5 axb5 Bxg6 Rxf2 Rxf2 Kxg6 Rd2 Rxd2 Kxd2 Kf5 c4 Bxc4,C46,5,Three Knights Opening,Three Knights Opening,,
1031,TRUE,69,Resign,White,5+8,intrepido,1500,felipeferreira,1534,e4 e5 Nf3 Bd6 Bc4 h6 d4 Nc6 d5 Nce7 O-O Ng6 a3 N8e7 Be3 a6 Bb3 b5 c4 Bb7 c5 Bxc5 Bxc5 d6 Be3 c5 dxc6 Bxc6 Nbd2 Nf4 Bxf4 exf4 Re1 Ng6 Bd5 Qc7 Rc1 Ne5 Nxe5 dxe5 Bxc6+ Ke7 Bxa8 Qd6 Bd5 h5 Nf3 f6 Qb3 g5 Red1 g4 Nh4 g3 Nf5+ Kd7 Nxd6 Kxd6 Rc6+ Kd7 Rxf6 gxf2+ Kxf2 h4 Bg8+ Kc8 Qe6+ Kb7 Rd7+,C40,3,King's Knight Opening,King's Knight Opening,,
1032,FALSE,31,Resign,White,5+8,intrepido,1500,ikimoi,1421,e4 e5 Nf3 Bd6 Bc4 Qf6 d3 Nh6 Bg5 Qg6 Rg1 f5 Qe2 f4 Bxh6 Qxh6 Nc3 g5 h3 Bc5 Nxe5 Qh4 Nd5 d6 Nf3 Qh5 Nxc7+ Kd7 Nxa8 Kc6 Bd5+,C40,3,King's Knight Opening,King's Knight Opening,,
1033,FALSE,15,Mate,White,5+8,intrepido,1500,lucaspsy,1329,e4 e5 Nf3 Nc6 Bc4 d6 Nc3 Bg4 h3 Bxf3 Qxf3 Be7 Qxf7+ Kd7 Be6#,C50,5,Italian Game,Italian Game,,
1034,FALSE,35,Resign,White,10+0,lafreu64,1851,mrphaseolusvulgaris,1712,e4 c5 Nf3 d6 d4 cxd4 Nxd4 a6 c4 e6 Nc3 Nc6 a3 Be7 Bd3 Nf6 O-O O-O f3 Qb6 Be3 Qxb2 Nxc6 bxc6 Na4 Qb8 Nb6 Ra7 Nxc8 Qxc8 Bxa7 c5 Bb6 Nd7 Ba5,B54,6,Sicilian Defense #2,Sicilian Defense,,#2
1035,FALSE,107,Out of Time,White,20+0,mrphaseolusvulgaris,1712,lanas2007,1714,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 d5 Nxc6 bxc6 exd5 Bb7 Nc3 Bb4 Qe2+ Ne7 Bg5 O-O Bxe7 Bxe7 O-O-O cxd5 Nxd5 Bxd5 Rxd5 Qxd5 Qxe7 Qxa2 Qxc7 Qa1+ Kd2 Qxb2 Bd3 a5 Qc4 a4 Qe4 g6 h4 a3 h5 Rfe8 Qd5 Rad8 Qc4 a2 Qc3 Qxc3+ Kxc3 gxh5 Kb2 Ra8 Ra1 Reb8+ Kc1 Kg7 Be4 Ra5 f3 f5 Bd3 Kf6 c4 Ke5 Kc2 f4 Bxh7 Rb4 Kc3 Rb1 Bxb1 axb1=Q Rxb1 Ra2 Rb5+ Kd6 Rxh5 Rxg2 Kd4 Rc2 c5+ Kc6 Rh6+ Kc7 Ke5 Rxc5+ Kxf4 Kd7 Rg6 Ke7 Kg4 Kf7 Rg5 Rc4+ f4 Kf6 Rf5+ Kg6 Rd5 Rc1 Rd6+ Kf7 Kf5 Rc5+ Kg4 Ke7 Rg6,C45,7,Scotch Game,Scotch Game,,
1036,FALSE,43,Resign,White,10+0,luis11,1500,mrphaseolusvulgaris,1712,d4 d5 g3 g6 c3 Bg7 Nf3 e6 Bg2 Nf6 Qb3 Nc6 O-O O-O Nbd2 a5 a3 a4 Qc2 Re8 e4 dxe4 Nxe4 Nxe4 Qxe4 f5 Qd3 e5 Bg5 Qd7 Qc4+ Qe6 Qxe6+ Rxe6 Rfe1 e4 Nh4 Re8 f3 h6 Bd2 exf3 Rxe8+,D00,2,Queen's Pawn Game,Queen's Pawn Game,,
1037,FALSE,72,Resign,Black,6+10,arrchess,1705,mrphaseolusvulgaris,1712,e4 c5 Bc4 d6 Nf3 Nc6 O-O e6 d4 cxd4 Nxd4 Nf6 Nc3 Be7 b3 a6 Bb2 O-O Nf3 b5 Bd3 Bb7 Ne2 Nb4 Ng3 Nxd3 Qxd3 Rc8 e5 dxe5 Nxe5 Qxd3 Nxd3 Rxc2 Bxf6 Bxf6 Rac1 Rfc8 Rxc2 Rxc2 a4 Rc3 Nc5 Rxc5 Rd1 g6 h3 bxa4 bxa4 Bh4 Ne2 Bg5 Kh2 a5 Rb1 Bd5 Rb6 Bc4 Nd4 Bd5 Ra6 Bb7 Rb6 Bd5 Nb3 Bxb3 Rxb3 Rc4 Rb8+ Kg7 Ra8 Rxa4,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,,Bowdler Attack
1038,FALSE,63,Resign,Black,10+0,mrphaseolusvulgaris,1712,zijakg,2015,e4 e6 d4 d5 Nc3 Nf6 exd5 exd5 Nf3 Bb4 Bb5+ c6 Be2 O-O O-O Ne4 Nxe4 dxe4 Nd2 Bf5 c3 Bd6 Bg4 Qf6 Bxf5 Qxf5 Re1 Re8 Nf1 Nd7 Ng3 Bxg3 hxg3 Qd5 Qb3 Qxb3 axb3 f5 Re3 Nf6 Bd2 a6 Rae1 Re7 f3 Rae8 fxe4 Nxe4 Bc1 g6 c4 b5 d5 cxd5 cxd5 Rd7 Rd1 Red8 g4 Rxd5 Rxd5 Rxd5 Kh2,C11,7,French Defense: Classical Variation |  Delayed Exchange Variation,French Defense,,Classical Variation
1039,FALSE,34,Resign,Black,10+25,mrphaseolusvulgaris,1712,teeteddy,1832,e4 c6 Nf3 d5 e5 Bg4 d4 e6 Be2 h6 Nbd2 c5 c4 Nc6 cxd5 Qxd5 Qa4 cxd4 Qb3 Qxb3 Nxb3 O-O-O Nfxd4 Bxe2 Nxe2 Bb4+ Bd2 Bxd2+ Nxd2 Nxe5 O-O-O Ne7 f4 Nd3+,B10,2,Caro-Kann Defense,Caro-Kann Defense,,
1040,FALSE,51,Resign,Black,3+10,mrphaseolusvulgaris,1712,seciyeli,1615,e4 d5 exd5 Qxd5 Nf3 Nf6 c4 Qd8 d4 e6 Nc3 c6 Be2 Be7 O-O O-O Re1 a6 a3 Re8 Qc2 Nbd7 Bf4 b5 c5 Nd5 Nxd5 exd5 Bf1 Bf6 Rxe8+ Qxe8 Re1 Qd8 Qe2 Nf8 Be5 Bxe5 Nxe5 Bf5 Qf3 Qf6 h3 Rc8 g4 Be4 Qxf6 gxf6 Nd3 Ne6 f3,B01,4,Scandinavian Defense: Mieses-Kotroc Variation,Scandinavian Defense,,Mieses-Kotroc Variation
1041,FALSE,60,Resign,Black,10+10,mrphaseolusvulgaris,1712,deadintheend,1708,e4 e5 Nf3 d5 Nxe5 Bd6 d4 dxe4 Nc3 Bxe5 dxe5 Qxd1+ Kxd1 Bf5 Be3 Nc6 Kd2 Nxe5 Rd1 O-O-O+ Kc1 Rxd1+ Nxd1 Ne7 Bxa7 b6 Ne3 Kb7 Nxf5 Nxf5 Bxb6 cxb6 g4 Nxg4 Bg2 Nf6 Re1 Re8 b3 Nh4 Bh1 Nf3 Bxf3 exf3 Rxe8 Nxe8 Kd2 g5 h3 h5 Ke3 g4 hxg4 hxg4 Kf4 Nf6 a4 Kc6 Kf5 g3,C40,4,Elephant Gambit,Elephant Gambit,,
1042,FALSE,26,Resign,Black,10+0,rdx_9917,1860,mrphaseolusvulgaris,1712,e4 c5 f4 d6 d3 Nc6 Be3 e6 Nf3 Be7 Be2 Nf6 Nc3 Ng4 Qd2 Bh4+ g3 Nxe3 Qxe3 Bf6 O-O Bd4 Nxd4 Nxd4 e5 Nxc2,B21,3,Sicilian Defense: McDonnell Attack,Sicilian Defense,,McDonnell Attack
1043,FALSE,70,Resign,Black,30+30,soultego,2108,mrphaseolusvulgaris,1712,d4 d5 Nf3 e6 e3 Nf6 Bd3 Nc6 O-O Be7 a3 a6 b3 O-O Nbd2 Re8 Bb2 Nd7 Ne5 Bf6 f4 g6 g4 Bg7 Qf3 Ncxe5 dxe5 f6 exf6 Bxf6 Bxf6 Qxf6 g5 Qc3 Rad1 Nc5 Qe2 Nxd3 cxd3 Bd7 Rc1 Qa5 h4 c6 h5 gxh5 Nf3 Qb6 Ne5 Rad8 Qxh5 Qxe3+ Kg2 Re7 Rce1 Qd2+ Re2 Qc3 Rh1 Be8 Qh6 Rg7 Qxe6+ Kf8 Rxh7 Rxh7 Ng6+ Bxg6 Qxg6 Qg7,D05,7,Colle System #2,Colle System,,#2
1044,FALSE,24,Resign,Black,10+0,mrphaseolusvulgaris,1712,alpv,1959,c4 Nf6 Nc3 e5 e3 Nc6 Be2 b6 d3 Bb7 Nf3 g6 O-O Bg7 Nd2 d5 cxd5 Nxd5 a3 O-O Qc2 Rc8 f4 Nxe3,A22,4,English Opening: King's English Variation |  Two Knights Variation,English Opening,,King's English Variation
